iso,name,longitude,latitude,region,lendingType,incomeLevel,ugo_Assist,ugo_SocIns,ugo_Labor,ugo_Status
NOR,Norway,10.7387,59.9138,ECS,LNX,HIC,1.0,,1.0,4.0
NPL,Nepal,85.3157,27.6939,SAS,IDX,LIC,,,,
NRU,Nauru,166.920867,-0.5477,EAS,IBD,UMC,,,,
NZL,New Zealand,174.776,-41.2865,EAS,LNX,HIC,1.0,1.0,1.0,4.0
OMN,Oman,58.5874,23.6105,MEA,LNX,HIC,,,,
PAK,Pakistan,72.8,30.5167,SAS,IDB,LMC,1.0,,,1.0
PAN,Panama,-79.5188,8.99427,LCN,IBD,HIC,,1.0,1.0,4.0
PER,Peru,-77.0465,-12.0931,LCN,IBD,UMC,1.0,,,1.0
PHL,Philippines,121.035,14.5515,EAS,IBD,LMC,1.0,1.0,1.0,4.0
PLW,Palau,134.479,7.34194,EAS,IBD,HIC,,,,
PNG,Papua New Guinea,147.194,-9.47357,EAS,IDB,LMC,,,,
POL,Poland,21.02,52.26,ECS,IBD,HIC,1.0,,1.0,4.0
PRI,Puerto Rico,-66.0,18.23,LCN,LNX,HIC,,,,
PRK,"Korea, Dem. People’s Rep.",125.754,39.0319,EAS,LNX,LIC,,,,
PRT,Portugal,-9.13552,38.7072,ECS,LNX,HIC,1.0,1.0,1.0,4.0
PRY,Paraguay,-57.6362,-25.3005,LCN,IBD,UMC,1.0,,,1.0
PSE,West Bank and Gaza,,,MEA,LNX,LMC,,,,
PYF,French Polynesia,-149.57,-17.535,EAS,LNX,HIC,,,,
QAT,Qatar,51.5082,25.2948,MEA,LNX,HIC,,,,
ROU,Romania,26.0979,44.4479,ECS,IBD,UMC,1.0,1.0,,4.0
RUS,Russian Federation,37.6176,55.7558,ECS,IBD,UMC,1.0,1.0,,4.0
RWA,Rwanda,30.0587,-1.95325,SSF,IDX,LIC,,,,
SAU,Saudi Arabia,46.6977,24.6748,MEA,LNX,HIC,1.0,1.0,1.0,4.0
SDN,Sudan,32.5363,15.5932,SSF,IDX,LMC,,,,
SEN,Senegal,-17.4734,14.7247,SSF,IDX,LMC,,,,
SGP,Singapore,103.85,1.28941,EAS,LNX,HIC,1.0,,1.0,4.0
SLB,Solomon Islands,159.949,-9.42676,EAS,IDX,LMC,,,,
SLE,Sierra Leone,-13.2134,8.4821,SSF,IDX,LIC,,,,
SLV,El Salvador,-89.2073,13.7034,LCN,IBD,LMC,1.0,1.0,,4.0
SMR,San Marino,12.4486,43.9322,ECS,LNX,HIC,,,,
SOM,Somalia,45.3254,2.07515,SSF,IDX,LIC,,,,
SRB,Serbia,20.4656,44.8024,ECS,IBD,UMC,,,,
SSD,South Sudan,31.6,4.85,SSF,IDX,LIC,,,,
STP,Sao Tome and Principe,6.6071,0.20618,SSF,IDX,LMC,,,,
SUR,Suriname,-55.1679,5.8232,LCN,IBD,UMC,,,,
SVK,Slovak Republic,17.1073,48.1484,ECS,LNX,HIC,,,,
SVN,Slovenia,14.5044,46.0546,ECS,LNX,HIC,1.0,1.0,1.0,4.0
SWE,Sweden,18.0645,59.3327,ECS,LNX,HIC,,1.0,,2.0
